100;100000;3
100;200000;9
100;300000;19
100;400000;37
100;500000;58
100;600000;83
100;700000;118
100;800000;153
100;900000;207
100;1000000;254
1000;100000;2
1000;200000;7
1000;300000;17
1000;400000;33
1000;500000;58
1000;600000;92
1000;700000;136
1000;800000;168
1000;900000;186
1000;1000000;246
10000;100000;3
10000;200000;7
10000;300000;15
10000;400000;31
10000;500000;52
10000;600000;78
10000;700000;108
10000;800000;142
10000;900000;185
10000;1000000;240
100;100000;4
100;200000;10
100;300000;22
100;400000;38
100;500000;59
100;600000;85
100;700000;116
100;800000;149
100;900000;190
100;1000000;234
1000;100000;2
1000;200000;7
1000;300000;16
1000;400000;32
1000;500000;53
1000;600000;78
1000;700000;108
1000;800000;142
1000;900000;182
1000;1000000;225
10000;100000;3
10000;200000;7
10000;300000;15
10000;400000;31
10000;500000;51
10000;600000;77
10000;700000;107
10000;800000;141
10000;900000;180
10000;1000000;223
100;100000;3
100;200000;9
100;300000;19
100;400000;36
100;500000;58
100;600000;82
100;700000;114
100;800000;149
100;900000;189
100;1000000;229
1000;100000;2
1000;200000;7
1000;300000;16
1000;400000;32
1000;500000;53
1000;600000;77
1000;700000;108
1000;800000;143
1000;900000;183
1000;1000000;226
10000;100000;3
10000;200000;7
10000;300000;15
10000;400000;31
10000;500000;52
10000;600000;77
10000;700000;107
10000;800000;141
10000;900000;180
10000;1000000;223
100;100000;3
100;200000;9
100;300000;19
100;400000;36
100;500000;57
100;600000;84
100;700000;114
100;800000;153
100;900000;201
100;1000000;258
1000;100000;2
1000;200000;7
1000;300000;18
1000;400000;43
1000;500000;55
1000;600000;91
1000;700000;115
1000;800000;150
1000;900000;182
1000;1000000;226
10000;100000;3
10000;200000;7
10000;300000;15
10000;400000;31
10000;500000;52
10000;600000;77
10000;700000;107
10000;800000;141
10000;900000;181
10000;1000000;233
